,Date,Month,Year,Genre,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,freq
0,1-2016,1,2016,MOBA,143342659,1916669,888634,4328,187685,192921,2578,288.49,5
1,1-2016,1,2016,Shooter,122343457,5021605,3676084,17641,820349,164636,6733,13568.199999999999,56
2,1-2016,1,2016,Tactical,47832863,830105,372654,2197,120849,64378,1117,57.62,1
3,1-2016,1,2016,Strategy,94077124,864884,606461,2194,107676,126615,1158,726.05,9
4,1-2016,1,2016,Simulator,14940321,691334,248868,2273,123101,20102,925,545.18,12
5,1-2016,1,2016,Adventure,22091268,928821,562651,3260,152660,29727,1245,545.1800000000001,10
6,1-2016,1,2016,Role-playing (RPG),45786705,1540398,1616103,7274,197341,61606,2057,4659.500000000001,38
7,1-2016,1,2016,Sport,12446241,759469,360387,2588,154865,16748,1019,1403.6699999999998,6
8,1-2016,1,2016,Point-and-click,4632857,74628,18809,167,7628,6235,100,62.08,1
9,1-2016,1,2016,Platform,12852137,123978,3504706,824,21451,17285,158,17394.71,27
10,1-2016,1,2016,Fighting,8231230,111729,692987,622,25577,11071,144,2332.93,13
11,1-2016,1,2016,Puzzle,2755704,26585,696403,180,4416,3705,34,21060.78,6
12,1-2016,1,2016,Racing,2376890,56543,460975,284,9146,3196,73,993.8299999999999,5
13,1-2016,1,2016,Music,1022854,73505,219457,222,15336,1376,98,123.56,2
14,1-2016,1,2016,Indie,778404,71335,9349,192,14698,1047,96,10.91,1
15,1-2016,1,2016,Pinball,684755,8746,41805,68,888,921,11,267.34,2
16,1-2016,1,2016,Real Time Strategy (RTS),1064758,25438,120595,100,2853,1430,32,1360.9299999999998,4
17,2-2016,2,2016,MOBA,138231626,1768939,763306,4041,168777,198892,2542,286.68,5
18,2-2016,2,2016,Shooter,116856910,4933563,1356815,18236,795884,168117,7075,2159.479999999999,47
19,2-2016,2,2016,Tactical,44933218,754901,235027,2097,106074,64652,1086,59.52,1
20,2-2016,2,2016,Strategy,94796462,868766,642456,2970,103661,136393,1245,3039.73,12
21,2-2016,2,2016,Simulator,15274032,717798,326743,2700,120604,21968,1022,1224.2200000000003,19
22,2-2016,2,2016,Adventure,12838557,538911,329091,2596,107341,18466,771,582.4,10
23,2-2016,2,2016,Role-playing (RPG),40576849,1372308,584785,5521,171467,58358,1950,2427.100000000001,47
24,2-2016,2,2016,Fighting,9302938,193105,287775,1680,50059,13379,273,1173.17,13
25,2-2016,2,2016,Point-and-click,4512143,82453,53201,356,10874,6491,117,209.80000000000004,4
26,2-2016,2,2016,Sport,8907967,733033,91463,2559,148772,12815,1052,59.69999999999999,5
27,2-2016,2,2016,Platform,4536013,118159,137433,591,22567,6522,166,526.3,11
28,2-2016,2,2016,Racing,2754175,99104,127089,543,14450,3961,141,236.59,5
29,2-2016,2,2016,Puzzle,1381678,27721,32614,124,4295,1985,38,191.3,4
30,2-2016,2,2016,Music,579657,64372,5164,180,13119,834,92,9.0,1
31,2-2016,2,2016,Indie,739490,75420,7025,241,13902,1063,107,23.47,2
32,2-2016,2,2016,Pinball,531034,8032,20772,52,842,764,11,66.11,1
33,2-2016,2,2016,Real Time Strategy (RTS),747763,22280,11866,86,2505,1075,31,245.43,3
34,2-2016,2,2016,Card & Board Game,168598,1062,28638,7,178,242,1,158.76,1
35,3-2016,3,2016,MOBA,141420514,1750114,992838,3854,166037,190334,2353,308.77,5
36,3-2016,3,2016,Shooter,151682959,5463491,2007987,20154,860304,204126,7329,2741.1300000000006,50
37,3-2016,3,2016,Tactical,72109368,743368,787307,1946,104282,97050,1000,271.54,2
38,3-2016,3,2016,Strategy,88334206,786023,774351,2103,98213,118884,1052,1045.06,9
39,3-2016,3,2016,Simulator,13853029,641558,274243,2142,110135,18638,857,440.89,14
